	subject	virus tax id	taxonomy	name	seq_size	genome	order	family	genus	genome_type	genome_composition	species	virus	baltimore	segment_n	seq_n	genome_size	complete_genome
2964	NC_029127	1611877.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Phlebovirus; Adana phlebovirus	Adana virus strain 195 segment L, complete sequence	6405	Riboviria	Bunyavirales	Phenuiviridae	Phlebovirus	1.0	ssRNA	Adana phlebovirus	Adana virus	ssRNA(-)	3.0	4.0	14166.0	0.0
6864	NC_007557	335103.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus H	Adult diarrheal rotavirus strain J19, complete genome	739	Riboviria	undefined	Reoviridae	Rotavirus	1.0	dsRNA	Rotavirus H	Adult diarrheal rotavirus strain J19	dsRNA	11.0	11.0	17961.0	0.0
6865	NC_007558	335103.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus H	Adult diarrheal rotavirus strain J19, complete genome	649	Riboviria	undefined	Reoviridae	Rotavirus	1.0	dsRNA	Rotavirus H	Adult diarrheal rotavirus strain J19	dsRNA	11.0	11.0	17961.0	0.0
7883	NC_007553	335103.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus H	Adult diarrheal rotavirus strain J19, complete genome	1287	Riboviria	undefined	Reoviridae	Rotavirus	1.0	dsRNA	Rotavirus H	Adult diarrheal rotavirus strain J19	dsRNA	11.0	11.0	17961.0	0.0
7884	NC_007554	335103.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus H	Adult diarrheal rotavirus strain J19, complete genome	1004	Riboviria	undefined	Reoviridae	Rotavirus	1.0	dsRNA	Rotavirus H	Adult diarrheal rotavirus strain J19	dsRNA	11.0	11.0	17961.0	0.0
8998	NC_007548	335103.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus H	Adult diarrheal rotavirus strain J19, complete genome	3538	Riboviria	undefined	Reoviridae	Rotavirus	1.0	dsRNA	Rotavirus H	Adult diarrheal rotavirus strain J19	dsRNA	11.0	11.0	17961.0	0.0
9452	NC_007556	335103.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus H	Adult diarrheal rotavirus strain J19, complete genome	820	Riboviria	undefined	Reoviridae	Rotavirus	1.0	dsRNA	Rotavirus H	Adult diarrheal rotavirus strain J19	dsRNA	11.0	11.0	17961.0	0.0
9857	NC_007549	335103.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus H	Adult diarrheal rotavirus strain J19, complete genome	2969	Riboviria	undefined	Reoviridae	Rotavirus	1.0	dsRNA	Rotavirus H	Adult diarrheal rotavirus strain J19	dsRNA	11.0	11.0	17961.0	0.0
9858	NC_007550	335103.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus H	Adult diarrheal rotavirus strain J19, complete genome	2512	Riboviria	undefined	Reoviridae	Rotavirus	1.0	dsRNA	Rotavirus H	Adult diarrheal rotavirus strain J19	dsRNA	11.0	11.0	17961.0	0.0
9859	NC_007551	335103.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus H	Adult diarrheal rotavirus strain J19, complete genome	2204	Riboviria	undefined	Reoviridae	Rotavirus	1.0	dsRNA	Rotavirus H	Adult diarrheal rotavirus strain J19	dsRNA	11.0	11.0	17961.0	0.0
9860	NC_007552	335103.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus H	Adult diarrheal rotavirus strain J19, complete genome	1307	Riboviria	undefined	Reoviridae	Rotavirus	1.0	dsRNA	Rotavirus H	Adult diarrheal rotavirus strain J19	dsRNA	11.0	11.0	17961.0	0.0
9861	NC_007555	335103.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Rotavirus; Rotavirus H	Adult diarrheal rotavirus strain J19, complete genome	932	Riboviria	undefined	Reoviridae	Rotavirus	1.0	dsRNA	Rotavirus H	Adult diarrheal rotavirus strain J19	dsRNA	11.0	11.0	17961.0	0.0
7038	NC_007670	341721.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Spinareovirinae; Dinovernavirus	Aedes pseudoscutellaris reovirus segment 5, complete sequence	3227	Riboviria	undefined	Reoviridae	Dinovernavirus	1.0	dsRNA	Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus	dsRNA	9.0	9.0	23147.0	0.0
7885	NC_007666	341721.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Spinareovirinae; Dinovernavirus	Aedes pseudoscutellaris reovirus segment 1, complete sequence	3817	Riboviria	undefined	Reoviridae	Dinovernavirus	1.0	dsRNA	Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus	dsRNA	9.0	9.0	23147.0	0.0
7886	NC_007668	341721.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Spinareovirinae; Dinovernavirus	Aedes pseudoscutellaris reovirus segment 3, complete sequence	3732	Riboviria	undefined	Reoviridae	Dinovernavirus	1.0	dsRNA	Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus	dsRNA	9.0	9.0	23147.0	0.0
7887	NC_007669	341721.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Spinareovirinae; Dinovernavirus	Aedes pseudoscutellaris reovirus segment 4, complete sequence	3375	Riboviria	undefined	Reoviridae	Dinovernavirus	1.0	dsRNA	Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus	dsRNA	9.0	9.0	23147.0	0.0
7888	NC_007671	341721.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Spinareovirinae; Dinovernavirus	Aedes pseudoscutellaris reovirus segment 6, complete sequence	1775	Riboviria	undefined	Reoviridae	Dinovernavirus	1.0	dsRNA	Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus	dsRNA	9.0	9.0	23147.0	0.0
8419	NC_007674	341721.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Spinareovirinae; Dinovernavirus	Aedes pseudoscutellaris reovirus segment 9, complete sequence	1147	Riboviria	undefined	Reoviridae	Dinovernavirus	1.0	dsRNA	Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus	dsRNA	9.0	9.0	23147.0	0.0
9213	NC_007672	341721.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Spinareovirinae; Dinovernavirus	Aedes pseudoscutellaris reovirus segment 7, complete sequence	1171	Riboviria	undefined	Reoviridae	Dinovernavirus	1.0	dsRNA	Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus	dsRNA	9.0	9.0	23147.0	0.0
9214	NC_007667	341721.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Spinareovirinae; Dinovernavirus	Aedes pseudoscutellaris reovirus segment 2, complete sequence	3752	Riboviria	undefined	Reoviridae	Dinovernavirus	1.0	dsRNA	Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus	dsRNA	9.0	9.0	23147.0	0.0
10789	NC_007673	341721.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Spinareovirinae; Dinovernavirus	Aedes pseudoscutellaris reovirus segment 8, complete sequence	1151	Riboviria	undefined	Reoviridae	Dinovernavirus	1.0	dsRNA	Aedes pseudoscutellaris reovirus	Aedes pseudoscutellaris reovirus	dsRNA	9.0	9.0	23147.0	0.0
11321	NC_038761	1962503.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Secoviridae; Comovirinae; Nepovirus	Aeonium ringspot virus segment RNA2, complete sequence	4010	Riboviria	Picornavirales	Secoviridae	Nepovirus	1.0	ssRNA	Aeonium ringspot virus	Aeonium ringspot virus	ssRNA(+)	2.0	2.0	11559.0	0.0
11322	NC_038762	1962503.0	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Picornavirales; Secoviridae; Comovirinae; Nepovirus	Aeonium ringspot virus segment RNA1, complete sequence	7549	Riboviria	Picornavirales	Secoviridae	Nepovirus	1.0	ssRNA	Aeonium ringspot virus	Aeonium ringspot virus	ssRNA(+)	2.0	2.0	11559.0	0.0
7554	NC_006012	40050.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	African horsesickness virus segment 4, complete sequence	1978	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	African horse sickness virus	African horse sickness virus	dsRNA	10.0	10.0	19524.0	0.0
8157	NC_005996	40050.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	African horsesickness virus segment 2, complete genome	3203	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	African horse sickness virus	African horse sickness virus	dsRNA	10.0	10.0	19524.0	0.0
8158	NC_006020	40050.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	African horsesickness virus	1748	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	African horse sickness virus	African horse sickness virus	dsRNA	10.0	10.0	19524.0	0.0
8159	NC_006021	40050.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	African horsesickness virus segment 1, complete genome	3965	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	African horse sickness virus	African horse sickness virus	dsRNA	10.0	10.0	19524.0	0.0
9184	NC_006016	40050.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	African horsesickness virus segment 8, complete sequence	1166	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	African horse sickness virus	African horse sickness virus	dsRNA	10.0	10.0	19524.0	0.0
9185	NC_006017	40050.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	African horsesickness virus segment 3, complete sequence	2792	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	African horse sickness virus	African horse sickness virus	dsRNA	10.0	10.0	19524.0	0.0
9198	NC_006019	40050.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	African horsesickness virus chromosome segment 9, complete genome	1169	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	African horse sickness virus	African horse sickness virus	dsRNA	10.0	10.0	19524.0	0.0
10066	NC_006018	40050.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	African horsesickness virus segment 6, complete sequence	1566	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	African horse sickness virus	African horse sickness virus	dsRNA	10.0	10.0	19524.0	0.0
10745	NC_006011	40050.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	African horsesickness virus segment 7, complete sequence	1179	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	African horse sickness virus	African horse sickness virus	dsRNA	10.0	10.0	19524.0	0.0
10746	NC_006009	40050.0	Viruses; Riboviria; Orthornavirae; Duplornaviricota; Resentoviricetes; Reovirales; Reoviridae; Sedoreovirinae; Orbivirus	African horsesickness virus segment 10, complete sequence	758	Riboviria	undefined	Reoviridae	Orbivirus	1.0	dsRNA	African horse sickness virus	African horse sickness virus	dsRNA	10.0	10.0	19524.0	0.0
6239	NC_022127	1386090.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Bromoviridae; Ilarvirus	Ageratum latent virus isolate 1998 segment RNA 1, complete sequence	3481	Riboviria	undefined	Bromoviridae	Ilarvirus	1.0	ssRNA	Ageratum latent virus	Ageratum latent virus	ssRNA(+)	3.0	3.0	8577.0	0.0
6240	NC_022128	1386090.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Bromoviridae; Ilarvirus	Ageratum latent virus isolate 1998 segment RNA 2, complete sequence	2872	Riboviria	undefined	Bromoviridae	Ilarvirus	1.0	ssRNA	Ageratum latent virus	Ageratum latent virus	ssRNA(+)	3.0	3.0	8577.0	0.0
6241	NC_022129	1386090.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Bromoviridae; Ilarvirus	Ageratum latent virus isolate 1998 segment RNA 3, complete sequence	2224	Riboviria	undefined	Bromoviridae	Ilarvirus	1.0	ssRNA	Ageratum latent virus	Ageratum latent virus	ssRNA(+)	3.0	3.0	8577.0	0.0
9853	NC_015450	1006583.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Phlebovirus; Aguacate phlebovirus	Aguacate virus segment M, complete genome	4185	Riboviria	Bunyavirales	Phenuiviridae	Phlebovirus	1.0	ssRNA	Aguacate phlebovirus	Aguacate virus	ssRNA(-)	3.0	3.0	12408.0	0.0
9937	NC_015452	1006583.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Phlebovirus; Aguacate phlebovirus	Aguacate virus segment S, complete genome	1830	Riboviria	Bunyavirales	Phenuiviridae	Phlebovirus	1.0	ssRNA	Aguacate phlebovirus	Aguacate virus	ssRNA(-)	3.0	3.0	12408.0	0.0
10831	NC_015451	1006583.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Phenuiviridae; Phlebovirus; Aguacate phlebovirus	Aguacate virus segment L, complete genome	6393	Riboviria	Bunyavirales	Phenuiviridae	Phlebovirus	1.0	ssRNA	Aguacate phlebovirus	Aguacate virus	ssRNA(-)	3.0	3.0	12408.0	0.0
3248	NC_018459	11582.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Aino orthobunyavirus	Aino virus Gn-Gc-NSm gene for M polyprotein, segment M, genomic RNA, isolate 38K	4335	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Aino orthobunyavirus	Aino virus	ssRNA(-)	3.0	3.0	12135.0	0.0
3249	NC_018460	11582.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Aino orthobunyavirus	Aino virus N and NSs genes, segment S, genomic RNA, isolate 38K	834	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Aino orthobunyavirus	Aino virus	ssRNA(-)	3.0	3.0	12135.0	0.0
3250	NC_018465	11582.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Aino orthobunyavirus	Aino virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate 38K	6966	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Aino orthobunyavirus	Aino virus	ssRNA(-)	3.0	3.0	12135.0	0.0
7628	NC_009894	70566.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Akabane orthobunyavirus	Akabane virus segment L, complete sequence	6868	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Akabane orthobunyavirus	Akabane virus	ssRNA(-)	3.0	3.0	12035.0	0.0
8678	NC_009896	70566.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Akabane orthobunyavirus	Akabane virus segment S, complete sequence	858	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Akabane orthobunyavirus	Akabane virus	ssRNA(-)	3.0	3.0	12035.0	0.0
9301	NC_009895	70566.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Akabane orthobunyavirus	Akabane virus segment M, complete sequence	4309	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Akabane orthobunyavirus	Akabane virus	ssRNA(-)	3.0	3.0	12035.0	0.0
11279	NC_038715	1552846.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Alajuela orthobunyavirus	Alajuela virus strain MARU 11079 segment M, complete sequence	5088	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Alajuela orthobunyavirus	Alajuela virus	ssRNA(-)	3.0	3.0	13166.0	0.0
11280	NC_038716	1552846.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Alajuela orthobunyavirus	Alajuela virus strain MARU 11079 segment S, complete sequence	1153	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Alajuela orthobunyavirus	Alajuela virus	ssRNA(-)	3.0	3.0	13166.0	0.0
11281	NC_038717	1552846.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Peribunyaviridae; Orthobunyavirus; Alajuela orthobunyavirus	Alajuela virus strain MARU 11079 segment L, complete sequence	6925	Riboviria	Bunyavirales	Peribunyaviridae	Orthobunyavirus	1.0	ssRNA	Alajuela orthobunyavirus	Alajuela virus	ssRNA(-)	3.0	3.0	13166.0	0.0
8636	NC_002025	12321.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Bromoviridae; Alfamovirus	Alfalfa mosaic virus RNA 3, complete sequence	2037	Riboviria	undefined	Bromoviridae	Alfamovirus	1.0	ssRNA	Alfalfa mosaic virus	Alfalfa mosaic virus	ssRNA(+)	3.0	3.0	8274.0	0.0
9202	NC_001495	12321.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Bromoviridae; Alfamovirus	Alfalfa mosaic virus RNA 1, complete sequence	3644	Riboviria	undefined	Bromoviridae	Alfamovirus	1.0	ssRNA	Alfalfa mosaic virus	Alfalfa mosaic virus	ssRNA(+)	3.0	3.0	8274.0	0.0
10362	NC_002024	12321.0	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Alsuviricetes; Martellivirales; Bromoviridae; Alfamovirus	Alfalfa mosaic virus RNA 2, complete sequence	2593	Riboviria	undefined	Bromoviridae	Alfamovirus	1.0	ssRNA	Alfalfa mosaic virus	Alfalfa mosaic virus	ssRNA(+)	3.0	3.0	8274.0	0.0
7375	NC_010249	144752.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus	Allpahuayo virus segment L, complete sequence	7053	Riboviria	Bunyavirales	Arenaviridae	Mammarenavirus	1.0	ssRNA	Allpahuayo mammarenavirus	Allpahuayo mammarenavirus	ssRNA(-)	2.0	2.0	10396.0	0.0
8610	NC_010253	144752.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Arenaviridae; Mammarenavirus	Allpahuayo virus segment S, complete sequence	3343	Riboviria	Bunyavirales	Arenaviridae	Mammarenavirus	1.0	ssRNA	Allpahuayo mammarenavirus	Allpahuayo mammarenavirus	ssRNA(-)	2.0	2.0	10396.0	0.0
1795	NC_040741	2212644.0	Viruses;ssRNA viruses;ssRNA negative-strand viruses;Negarnaviricota;Polyploviricotina;Ellioviricetes;Bunyavirales;Peribunyaviridae;Tospovirus;unclassified Tospovirus;Alstroemeria yellow spot virus	Alstroemeria yellow spot virus isolate Als-2000 segment S, complete sequence	2769	Riboviria	undefined	undefined	unclassified Tospovirus	1.0	ssRNA	Alstroemeria yellow spot orthotospovirus	Alstroemeria yellow spot virus	ssRNA(-)	3.0	4.0	19165.0	0.0
14011	NC_040741	2212644.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Tospoviridae; Orthotospovirus; Alstroemeria yellow spot orthotospovirus	Alstroemeria yellow spot virus isolate Als-2000 segment S, complete sequence	2734	Riboviria	Bunyavirales	Tospoviridae	undefined	1.0	ssRNA	Alstroemeria yellow spot orthotospovirus	Alstroemeria yellow spot virus	ssRNA(-)	3.0	4.0	19165.0	0.0
14012	NC_040742	2212644.0	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Ellioviricetes; Bunyavirales; Tospoviridae; Orthotospovirus; Alstroemeria yellow spot orthotospovirus	Alstroemeria yellow spot virus isolate Als-2000 segment L, complete sequence	8865	Riboviria	Bunyavirales	Tospoviridae	undefined	1.0	ssRNA	Alstroemeria yellow spot orthotospovirus	Alstroemeria yellow spot virus	ssRNA(-)	3.0	4.0	19165.0	0.0
